,open,high,low,close,volume,EMA,SMA,T3,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,FastD,FastK,RSI,WILLR,ADX,CCI,ROC,Aroon Down,Aroon Up,MFI,TRIX,Real Lower Band,Real Middle Band,Real Upper Band,DX,Chaikin A/D,OBV,PHASE,QUADRATURE,ADOSC,buy_label,ACTIVE_ABNB,ACTIVE_BWA,ACTIVE_CHWY,ACTIVE_NKE,ACTIVE_SBUX
122,190.44,190.76,167.04,173.86,29890545,191.4021,192.6225,192.0436,15.2247,8.2567,6.968,74.5265,57.0754,57.0754,15.6965,58.0616,-85.0254,46.7356,-126.316,14.248,0.0,75.0,61.6212,2.6278,164.4517,192.6225,220.7933,10.6332,360450216.7174,256635937.0,1.5912,-5.3946,27265771.6022,0,True,False,False,False,False
121,176.88,180.7,160.49,166.75,35806152,185.5933,194.2175,192.2001,15.3858,6.3181,9.0677,57.3844,31.2099,31.2099,12.0168,40.6264,-87.9832,41.3423,-85.8019,3.7419,100.0,50.0,34.7839,1.5758,170.94,194.2175,217.495,25.1623,346825807.5694,220829785.0,-0.0517,6.47,16758491.4902,1,True,False,False,False,False
120,167.275,187.5,162.85,180.42,27795543,178.266,185.1988,187.2731,15.3437,4.478,10.8657,36.7586,21.9904,21.9904,38.2579,31.6502,-61.7421,31.5491,-27.3478,-17.7403,75.0,25.0,21.8677,0.3068,155.8903,185.1988,214.5072,2.1696,358654417.9576,248625328.0,3.2457,30.5655,14700208.2507,0,True,False,False,False,False
119,178.25,180.0,149.44,157.91,53080184,178.2596,178.2112,182.7425,15.5625,3.2736,12.2889,24.8099,21.2295,21.2295,13.4138,48.8634,-79.5015,32.1702,-107.5563,-13.5548,100.0,0.0,19.7495,-0.1903,161.7517,178.2112,194.6708,34.0335,334997608.2037,195545144.0,21.4081,42.0569,4994633.9809,1,True,False,False,False,False
118,151.16,171.99,151.0,171.31,19752640,167.4198,168.3912,174.8299,13.6282,0.4356,13.1925,26.0289,34.8667,34.8667,52.9284,26.7183,-42.5381,32.636,-50.4265,-20.6259,75.0,0.0,35.7529,-1.2956,146.7714,168.3912,190.0111,34.0335,353470420.1713,215297784.0,34.6251,-8.5761,6447827.0438,0,True,False,False,False,False
117,169.8064,172.73,165.02,166.49,11791107,168.3744,166.6228,169.5115,12.6312,-1.1063,13.7375,31.0476,37.0466,37.0466,44.7977,48.2448,-55.2023,31.9479,0.3748,-3.9991,50.0,25.0,54.0774,-1.4203,147.0052,166.6228,186.2405,29.8834,346175532.9612,203506677.0,19.2844,-55.039,4135048.5441,0,True,False,False,False,False
116,165.2966,175.9,156.34,166.05,23800685,167.1433,166.1282,166.2676,11.6539,-2.3069,13.9609,39.6786,47.1226,47.1226,43.6416,44.0701,-45.6479,37.1508,28.6718,-1.1827,25.0,0.0,29.3975,-1.3612,146.5016,166.1282,185.7549,52.7596,346005180.4101,179705992.0,-4.9932,-62.9256,2758795.2967,0,True,False,False,False,False
115,159.7601,171.99,152.1,163.99,24866993,164.19,161.5058,163.5241,10.5947,-3.2231,13.8178,43.1731,45.3502,45.3502,47.6113,38.6024,-47.8313,43.1228,-107.8246,-10.373,0.0,0.0,39.564,-1.4016,147.6006,161.5058,175.4109,61.0387,350868559.1316,154838999.0,-26.3441,-29.9753,3492421.7163,0,True,False,False,False,False
114,156.91,165.2,152.41,156.73,23031718,161.278,162.9433,160.805,8.797,-4.4054,13.2024,43.5204,38.0883,38.0883,23.012,35.5731,-80.5462,47.6018,-112.3411,3.8039,0.0,50.0,14.5485,-1.4736,152.9847,162.9433,172.9019,61.0387,343395405.9103,131807281.0,-22.9331,0.3726,1097227.2524,0,True,False,False,False,False
113,150.0,152.4,134.3743,142.77,37420747,156.7668,157.9917,157.2714,6.6706,-5.5814,12.252,37.9063,30.2805,30.2805,20.2181,28.375,-79.7819,56.5125,-133.3333,-11.6641,100.0,25.0,0.0,-1.7022,146.9678,157.9917,169.0156,83.2446,340833040.6195,94386534.0,-22.2511,6.7454,-797671.0074,1,True,False,False,False,False
